technique_id,technique_name,tactics,covered,enforcement_mechanism,airlock_control,testable,test_case,limitations
T1566,Phishing,initial-access,Yes,"Phishing delivery not prevented. Payload execution blocked. This is the handoff: email security handles delivery, Airlock handles execution.",default-deny + script-control,yes,"User opens phishing email, runs attached payload -> blocked.","Phishing delivery, social engineering, credential harvesting not in scope."
T1566.001,Spearphishing Attachment,initial-access,Yes,"Spearphishing attachment. Attachment (exe/script/msi) must be trusted. Macro-enabled docs: doc opens, payload blocked.",default-deny + script-control,yes,1) .exe attachment -> blocked. 2) .js/.vbs attachment -> blocked via script control. 3) Macro doc drops exe -> exe blocked.,Doc itself opens. Macro code runs inside Office.
T1566.002,Spearphishing Link,initial-access,Yes,Spearphishing link. Downloaded payload must be trusted to execute.,default-deny,yes,"Click link, download exe, run -> blocked.",Link clicking and credential phishing pages not prevented.
T1566.003,Spearphishing via Service,initial-access,Yes,Payload delivered via messaging service. Must be trusted to execute.,default-deny,yes,Payload from Slack/Teams/LinkedIn -> blocked at execution.,Delivery not prevented.
T1566.004,Spearphishing Voice,initial-access,No,Spearphishing voice (vishing). Social engineering via phone. No file execution involved directly.,none,no,N/A.,"If vishing leads to user running something, that execution is checked."
T1567,Exfiltration Over Web Service,exfiltration,No,Exfiltration over web service. Network.,none,no,N/A.,"If exfil tool untrusted, blocked."
T1567.001,Exfiltration to Code Repository,exfiltration,No,Exfiltration to code repository. Network.,none,no,N/A.,
T1567.002,Exfiltration to Cloud Storage,exfiltration,No,Exfiltration to cloud storage. Network.,none,no,N/A.,
T1567.003,Exfiltration to Text Storage Sites,exfiltration,No,Exfiltration to text storage. Network.,none,no,N/A.,
T1567.004,Exfiltration Over Webhook,exfiltration,No,Exfiltration over webhook. Network.,none,no,N/A.,
T1568,Dynamic Resolution,command-and-control,No,Dynamic resolution. DNS-based. Network.,none,no,N/A.,
T1568.001,Fast Flux DNS,command-and-control,No,Fast flux DNS. Network.,none,no,N/A.,
T1568.002,Domain Generation Algorithms,command-and-control,No,DGA. Network/in-process.,none,no,N/A.,
T1568.003,DNS Calculation,command-and-control,No,DNS calculation. Network.,none,no,N/A.,
T1569,System Services,execution,Yes,Service binary must be trusted. Service creation may succeed but binary blocked at start. sc.exe restrictable.,default-deny + blocklist,yes,"sc create evilsvc binPath= C:\Temp\malware.exe -> OK, sc start -> blocked.",Service creation not prevented.
T1569.002,Service Execution,execution,Yes,PsExec creates PSEXESVC.exe on target. Must be trusted. PsExec in Microsoft Recommended Block Rules predefined blocklist. Blocklist overrides allowlist.,default-deny + blocklist (predefined),yes,1) PsExec to target -> PSEXESVC.exe blocked. 2) Import MS Block Rules -> PsExec blocked even with MS trust.,"If PSEXESVC explicitly allowlisted, it runs."
T1570,Lateral Tool Transfer,lateral-movement,Yes,Lateral tool transfer — file copy to remote host succeeds (Airlock doesn't prevent file writes). But execution of transferred tool on target is blocked if untrusted.,default-deny,yes,Copy malware to \\target\C$\Temp -> succeeds. Attempt to run on target -> blocked.,File transfer not prevented. Execution is the control point.
T1571,Non-Standard Port,command-and-control,No,Non-standard port. Network.,none,no,N/A.,
T1572,Protocol Tunneling,command-and-control,Yes,"Tunneling tools (chisel, plink, ngrok, cloudflared) must be trusted to execute. Blocked by default-deny.",default-deny,yes,"chisel.exe, plink.exe, ngrok.exe not allowlisted -> blocked.",Built-in SSH tunneling (ssh.exe) on modern Windows available if not blocklisted.
T1573,Encrypted Channel,command-and-control,No,Encrypted channel. Network.,none,no,N/A.,
T1573.001,Symmetric Cryptography,command-and-control,No,Symmetric crypto. Network.,none,no,N/A.,
T1573.002,Asymmetric Cryptography,command-and-control,No,Asymmetric crypto. Network.,none,no,N/A.,
T1574,Hijack Execution Flow,"defense-evasion,persistence,privilege-escalation",Yes,"Hijack execution flow — DLL control is the primary defense. Untrusted DLLs blocked at load regardless of the hijack vector (search order, sideloading, COR_PROFILER, etc).",DLL-control + default-deny,yes,Place untrusted DLL in trusted app directory -> DLL blocked at load.,Memory-only hijacks (T1574.013 KernelCallbackTable) operate inside trusted process memory — not caught. Trusted-signed DLLs pass publisher trust.
T1574.001,DLL,"defense-evasion,persistence,privilege-escalation",Yes,DLL search order hijacking. Malicious DLL in app directory. Must be trusted.,DLL-control,yes,Unsigned DLL with legitimate name in app dir -> blocked.,Strongest control against common malware technique.
T1574.005,Executable Installer File Permissions Weakness,"defense-evasion,persistence,privilege-escalation",Yes,Executable installer file perms weakness. Replacement must be trusted.,default-deny,partial,Replace installer exe with unsigned -> blocked on service restart.,File replacement itself is OS permissions issue.
T1574.007,Path Interception by PATH Environment Variable,"defense-evasion,persistence,privilege-escalation",Yes,Path interception by PATH env var. Malicious exe in high-priority PATH dir. Must be trusted.,default-deny,yes,Unsigned exe named common_tool.exe in PATH dir -> blocked.,"If placed in path-trusted directory, may run."
T1574.008,Path Interception by Search Order Hijacking,"defense-evasion,persistence,privilege-escalation",Yes,Path interception by search order. Same principle as .007.,default-deny,yes,Unsigned exe in directory searched before legitimate -> blocked.,Path rule coverage important.
T1574.009,Path Interception by Unquoted Path,"defense-evasion,persistence,privilege-escalation",Yes,Unquoted path interception. Attacker places exe at shorter path. Must be trusted.,default-deny,yes,Unquoted 'C:\Program Files\App\svc.exe' -> place C:\Program.exe (unsigned) -> blocked.,Classic technique caught cleanly.
T1574.010,Services File Permissions Weakness,"defense-evasion,persistence,privilege-escalation",Yes,Services file perms weakness. Replace service binary. Must be trusted.,default-deny,partial,Replace service binary with unsigned -> restart blocked.,File replacement is OS perms issue.
T1574.011,Services Registry Permissions Weakness,"defense-evasion,persistence,privilege-escalation",Yes,Services registry perms weakness. Modify ImagePath to malicious exe. Must be trusted.,default-deny,yes,Modify service ImagePath to unsigned exe -> start blocked.,Reg mod not prevented.
T1574.012,COR_PROFILER,"defense-evasion,persistence,privilege-escalation",Yes,COR_PROFILER .NET profiler DLL. Must be trusted.,DLL-control,yes,Set COR_PROFILER to untrusted DLL -> blocked when .NET app starts.,Env var mod not prevented.
T1574.013,KernelCallbackTable,"defense-evasion,persistence,privilege-escalation",No,KernelCallbackTable. In-memory manipulation of trusted process.,none,no,N/A - in-memory. EDR territory.,
T1574.014,AppDomainManager,"defense-evasion,persistence,privilege-escalation",Yes,AppDomainManager injection. .NET config loads attacker DLL. Must be trusted.,DLL-control,yes,Malicious .config pointing to untrusted DLL -> blocked.,Config file modification not prevented.
T1606,Forge Web Credentials,credential-access,No,Forge web credentials. Token/cookie forgery. No file execution.,none,no,N/A.,
T1606.001,Web Cookies,credential-access,No,Web cookies. Forgery. No file execution.,none,no,N/A.,
T1606.002,SAML Tokens,credential-access,No,SAML tokens. Identity plane.,none,no,N/A.,
T1611,Escape to Host,privilege-escalation,No,Escape to host from container. Container/VM escape. Not standard Windows endpoint scenario.,none,no,N/A.,Container security.
T1614,System Location Discovery,discovery,No,System location discovery. Trusted tools/APIs.,none,no,N/A.,
T1614.001,System Language Discovery,discovery,No,System language discovery. Same.,none,no,N/A.,
T1615,Group Policy Discovery,discovery,Yes,gpresult.exe restrictable via blocklist metarule for non-admins.,blocklist-metarule,yes,Blocklist gpresult.exe for non-admins.,
T1620,Reflective Code Loading,defense-evasion,Yes,"Reflective code loading relies on a loader process to invoke reflection (e.g., MSBuild, InstallUtil, RegAsm, PowerShell via Assembly.Load, custom .NET harnesses). Airlock blocks/blocklists the loader binaries. MSBuild, InstallUtil, RegAsm covered by predefined LOLBAS blocklist packages. PowerShell restrictable via metarule. Custom loader executables blocked by default-deny. The reflected assembly itself may never touch disk, but the process performing the reflection is controllable.",blocklist (predefined) + blocklist-metarule + default-deny,yes,1) Blocklist MSBuild/InstallUtil/RegAsm via predefined LOLBAS package - loader can't run. 2) Blocklist PowerShell for non-admins - prevents Assembly.Load via PS. 3) Custom .NET reflection harness exe - blocked by default-deny (untrusted). 4) execute-assembly style attack requires attacker tooling on disk - blocked.,"If reflection occurs inside an already-trusted, non-blocklistable process via API calls, Airlock has no visibility into the in-memory assembly. That is EDR + memory protection territory."
T1621,Multi-Factor Authentication Request Generation,credential-access,No,MFA request generation (MFA fatigue). Identity/social engineering.,none,no,N/A.,
T1622,Debugger Evasion,"defense-evasion,discovery",No,"Debugger evasion. If malware untrusted, blocked before check.",default-deny (indirect),yes,N/A.,
T1649,Steal or Forge Authentication Certificates,credential-access,No,Steal/forge auth certificates. Certificate operations.,none,no,N/A.,
T1652,Device Driver Discovery,discovery,No,Device driver discovery. Trusted tools.,none,no,N/A.,
T1653,Power Settings,persistence,No,Power settings. Modifying power config to prevent sleep. No file execution.,none,no,N/A.,"OS configuration, not execution."
T1654,Log Enumeration,discovery,No,Log enumeration. Reading logs. Data operation.,none,no,N/A.,
T1656,Impersonation,defense-evasion,No,Impersonation (social). Pretending to be someone. Social engineering.,none,no,N/A.,
T1657,Financial Theft,impact,No,Financial theft. Business logic/identity.,none,no,N/A.,
T1659,Content Injection,"command-and-control,initial-access",No,Content injection. Injecting content into network traffic. Network-level.,none,no,N/A.,"If injected content leads to file download+execution, execution blocked."
T1665,Hide Infrastructure,command-and-control,No,Hide infrastructure. Network/attacker infra.,none,no,N/A.,
T1667,Email Bombing,impact,No,Email bombing. Email-level.,none,no,N/A.,
T1668,Exclusive Control,persistence,No,"Exclusive control. Mutex/lock to prevent other instances. Behavioral, inside trusted process.",none,no,N/A.,
T1669,Wi-Fi Networks,initial-access,No,Wi-Fi networks. Rogue Wi-Fi. Network-level. No file execution.,none,no,N/A.,Network security.
T1672,Email Spoofing,defense-evasion,No,Email spoofing. Email-level technique.,none,no,N/A.,
T1673,Virtual Machine Discovery,discovery,No,Virtual machine discovery. Checking VM indicators. Behavioral.,none,no,N/A.,
T1674,Input Injection,execution,No,"Input injection (SendInput, keystrokes) is UI-level. Airlock doesn't monitor input. Resulting file launches checked.",none,no,N/A - input simulation outside scope.,Resulting binary execution still checked.
T1678,Delay Execution,defense-evasion,No,"Delay execution (sleep/timer). If malware is untrusted, blocked whenever it tries to execute regardless of delay.",default-deny,yes,N/A.,Delayed malware still blocked.
T1679,Selective Exclusion,defense-evasion,No,Selective exclusion. Malware selectively targeting systems. Behavioral.,none,no,N/A.,
T1680,Local Storage Discovery,discovery,No,Local storage discovery. Enumerating storage. Data operation.,none,no,N/A.,
